BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				hadas corone sus hazañas. Sin el tono sombrío que a veces florecía en Rocky, Avildsen retrata las peripecias de un muchacho atormentado en el colegio por agresivos compañeros y, en consecuencia, avergonzado ante la chica que le sonríe. No obstante, la suerte se cruza en su camino al conocer a un viejo especialista en karate que, generosamente, le instruye en sus artes. Ante la sorpresa del propio muchacho, aprende pronto y bien.
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				Este personaje secundario es lo mejor de Karate Kid. Reposado, firme y escurridizo, Noriyuki Tat Worita interpreta a este anciano socarrón con un humor simpático y eficaz. El público, en efecto, ríe con sus razonamientos y le aplaude cuando ejercita modos de karateka. Ese mismo público vibra con el mínimo suspense del combate final como si fuera ésta la vez primera
«'Rocky' en pequeñito». El País. Madrid: Diario El País, S.A., 1984-06-01.		El País	1984	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				con un humor simpático y eficaz. El público, en efecto, ríe con sus razonamientos y le aplaude cuando ejercita modos de karateka. Ese mismo público vibra con el mínimo suspense del combate final como si fuera ésta la vez primera que contempla un filme similar. Hay, por tanto, una forma feliz de ver Karate Kid.
«En otro gran damnificado». Hoy. Chile: 1985-03-31.		Hoy	1985	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Chile	Chilena		Procesado mediante un programa de procesamiento de voz. Mayúsculas no acentuadas en el original.	del barrio. ¿Quién va a reconstruir edificios nuevos cuando nadie está interesado en vivir en Valparaíso, y si hay decenas de sitios eriazos en la ciudad desde antes del terremoto? En El Almendral, por ejemplo, se seguirán arrendando segundos pisos por ocho mil presos y se instalarán sastrerías, vulcanizaciones o academias de karate. Lo digo con pena, pero con realismo: el terremoto acentuó la lenta agonía de Valparaíso".
«España, medalla de oro 'junior' por equipos en los Campeonatos de Europa». El País. Madrid: Diario El País, S.A., 1985-02-02.		El País	1985	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				KARATE
«España, medalla de oro 'junior' por equipos en los Campeonatos de Europa». El País. Madrid: Diario El País, S.A., 1985-02-02.		El País	1985	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				La selección española junior masculina se adjudicó ayer la medalla de oro de los campeonatos de Europa de karate, que se disputan en el Palacio de los Deportes de Madrid, al vencer a Suecia por tres victorias a una. El equipo español, que estaba formado por Manuel Ara, Arranz L. Alberto, José Díaz, J. Manuel Egea, J. Manuel Galán, Sergio Martínez, y Eugenio Torres, impuso su técnica tanto en las rondas
Mojarro, Tomás: Yo, el valedor (y el Jerásimo). México D.F.: Fondo de Cultura Económica, 1985.	Mojarro, Tomás	Yo, el valedor (y el Jerásimo)	1985	Primera edición	Ficción	Escrito	Libro	Relato	México	México y Centroamérica			fue presentado ante el Procurador, quien se negó a involucrarse en el caso, lavándose las manos de toda responsabilidad y devolviendo al detenido a las fuerzas del orden. Todos los indicios señalan que al compañero le aplicaron tormento durante toda la noche (picana, pocito, golpes de látigo y de karate, capucha) con objeto de que denunciara a sus cómplices y la casa de seguridad en que se esconden. Todo ello sin resultado.
«Aparecen más salas». Revista Hoy. Santiago de Chile: 1986-08-24.		Revista Hoy	1986	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz	El Maru, que sus avatares llegó al "karate", renace como Abril, y el California rompió con el cine
«Aparecen más salas». Revista Hoy. Santiago de Chile: 1986-08-24.		Revista Hoy	1986	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz	La sala Maru, que viera el esplendor y la gloria de actores como Américo Vargas y Lucho Córdoba, había ido de mal en peor. Primero se instaló allí una academia de karate, luego un topless y finalmente un restaurante, antes que la actriz Ana María Palma —que integraba el ex Teatro de Cámara—, dotada de gran tozudez y bastantes ideas claras, se empeñara en rescatarlo de su decadencia.
Cohen, Marcelo: Insomnio. Barcelona: Muchnik, 1986.	Cohen, Marcelo	Insomnio	1986	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata			metal al cielo azabache del barrio Santa Cruz y el Parque de los Confines, con el reloj en la mano y los párpados bajos se había auscultado los ritmos de la sangre, los reflejos, la memoria, deteniéndose solamente para tomar jugos de fruta, hasta presentarse llena de energía a la clase de karate. Con algún cargo de conciencia, no obstante, porque hacía tiempo que no se entrenaba y el karate era una parte trascendental del entrenamiento sistemático, lento y pertinaz que quería administrarse; el resto estaba hecho de intrincados cálculos de ahorro, cursos de inglés por radio, nociones de diseño de modas y una entrega
Cohen, Marcelo: Insomnio. Barcelona: Muchnik, 1986.	Cohen, Marcelo	Insomnio	1986	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata			en la mano y los párpados bajos se había auscultado los ritmos de la sangre, los reflejos, la memoria, deteniéndose solamente para tomar jugos de fruta, hasta presentarse llena de energía a la clase de karate. Con algún cargo de conciencia, no obstante, porque hacía tiempo que no se entrenaba y el karate era una parte trascendental del entrenamiento sistemático, lento y pertinaz que quería administrarse; el resto estaba hecho de intrincados cálculos de ahorro, cursos de inglés por radio, nociones de diseño de modas y una entrega confiada al desenfreno, como si la vida afuera de Bardas de Krámer prometiera ser una exhibición de oportunidades amenizada
Cohen, Marcelo: Insomnio. Barcelona: Muchnik, 1986.	Cohen, Marcelo	Insomnio	1986	Primera edición	Ficción	Escrito	Libro	Novela	Argentina	Río de la Plata			por eso ofrendarse, querer a un hombre que fuera un lazo con el mundo, pero que el lazo no debía anudar la herencia de Leopoldo. Estaba haciendo flexiones cuando la distrajo un silbido. Era Graciela, una pelirroja enclenque a la cual Selva más de una vez había intentado no quebrar en las clases de karate. Salía de atrás de unas matas como si hubiera estado vivaqueando en el parque. Corrieron juntas un rato pero muy pronto Graciela pidió descansar, y no sólo eso: con todo el pelo sobre la cara se largó a llorar porque esa mañana se había despedido de un sobrinito que era como su segunda vida.
«Rallye París-Dakar». ABC. Madrid: Prensa Española, S.A., 1987-01-16.		ABC	1987	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original. Se han respetado las formas "fué" y "asociacion" en aquellos artículos donde se muestran como formas exclusivas, sin alternancia con "fue" o "asociación", respectivamente.	– Karate. Mañana, sábado, se celebrará el Campeonato de España júnior masculino y femenino absoluto en el polideportivo Antonio Magariños, de Madrid. Las pruebas comenzarán a las nueve de la mañana, y a partir de las seis de la tarde se celebrarán las finales y algunas exhibiciones.
Fernández de Castro, Javier: La novia del Capitán. Madrid: Mondadori, 1987.	Fernández de Castro, Javier	La novia del Capitán	1987	Primera edición	Ficción	Escrito	Libro	Novela	España				La primera en abrir el fuego fue la abuela. Antes, durante el breve instante de confusión que se produjo entre que Severo sugirió pasar al comedor y el paso efectivo, Domingo Lamsfus, tras mencionar la afición de Laureano por el ciclismo, afirmó  que también él había practicado el deporte, concretamente el karate. De hecho dijo haber sido «un fervoroso karateca». Y la abuela, que pasaba en ese momento camino del comedor, se volvió a mirarle muy sorprendida, pero no dijo nada. Ahora sin embargo, viendo que Domingo Lamsfus no rechazaba el vino rosado pareció francamente escandalizada.
«La policía insiste en vincular al neofascista con ETA». El País. Madrid: Diario El País, S.A., 1987-04-02.		El País	1987	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España				Una agente venezolana derribó a Delle Chiaie con un golpe de karate cuando intentaba huir
«La policía insiste en vincular al neofascista con ETA». El País. Madrid: Diario El País, S.A., 1987-04-02.		El País	1987	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España				Porfirio Valera aportó nuevos elementos a la investigación que está llevando a cabo. Varias personas relacionadas con el italiano han sido detenidas; Licio Gelli, maestro de la Logia P-2 y amigo de Delle Chiaie, se encuentra en Brasil. Una mujer policía fue la que derribó a Delle Chiaie con un golpe de karate.
«La policía insiste en vincular al neofascista con ETA». El País. Madrid: Diario El País, S.A., 1987-04-02.		El País	1987	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España				P. ¿Es cierto que una mujer policía derribó con un golpe de karate a Stefano delle Chiaie cuando intentaba huir por la estación del metro?
«EL PAÍS, Madrid». El País. Madrid: Diario El País S.A., 1987-10-01.		El País	1987	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				seis y 14 años, tienen como finalidad la promoción del deporte a un precio asequible para familias medias: 250 pesetas por una tarjeta anual más mensualidades que oscilan entre las 225 y las 550 pesetas. El IMD desarrolla también en otoño e invierno una serie de actividades para adultos que van desde clases de yudo o kárate hasta programas para rehabilitación de minusválidos. En este caso, el abono anual asciende a 400 pesetas, y las mensualidades varían entre las 1.100 y las 1.600. Por otra parte, el 1 de octubre se abre el plazo de inscripción para participar en los Juegos Deportivos Municipales, que celebran este año su octava edición.
«Semana de juventud.». El País. Madrid: Diario El País, S.A., 1987-12-01.		El País	1987	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				Del 7 al 13 de diciembre se celebrará la II Semana de la Juventud Rivas-Vaciamadrid (Madrid), en la que habrá actividades deportivas (karate-do de divulgación-participación), exhibiciones deportivas de baloncesto, futbit o y pimpón; cine (La rosa, Granujas a todo ritmo), actuación del grupo Avenida, jazz, break dance, taller de instrumentos musicales, ludobús, taller de teatro, charlas coloquio, exhibición de rappel y técnicas de rescate en paredes,
Velasco Piña, Antonio: Regina. México D.F.: Hoja Casa, 1992.	Velasco Piña, Antonio	Regina	1987	Fecha de escritura	Ficción	Escrito	Libro	Novela	México	México y Centroamérica			independiente. Desde luego no le interesaba alcanzar fama o riqueza, sino obtener tan solo los ingresos suficientes para proporcionar a su familia una existencia modestamente decorosa. La mayor parte de su tiempo empezó a dedicarlo a interiorizarse en el conocimiento de diversas Tradiciones desarrolladas en diferentes partes del mundo. Lo mismo practicaba yoga y karate que estudiaba griego antiguo. Cada vez estaba más convencido de la trascendental importancia de su época. La humanidad se encontraba al final de toda una serie de ciclos y, por lo tanto, en el inicio de una nueva sucesión de etapas históricas. Correspondía a los modernos Olmecas la elevada misión de dar origen a una nueva
Velasco Piña, Antonio: Regina. México D.F.: Hoja Casa, 1992.	Velasco Piña, Antonio	Regina	1987	Fecha de escritura	Ficción	Escrito	Libro	Novela	México	México y Centroamérica			Raúl era un joven particularmente vigoroso. En el patio de la vecindad en que vivía practicaba karate diariamente con un amigo mayor que él, maestro en dicho arte marcial. A pesar de ello nunca acostumbraba pelear; aquel día había sido un incontrolable sentimiento de indignación lo que le impulsara a enfrentar al jefe de "los arañas".
Gete-Alonso, Eugenio Luis: Tiempo de ocio. Barcelona: Plaza y Janés, 1987.	Gete-Alonso, Eugenio Luis	Tiempo de ocio	1987	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				No faltan publicaciones especializadas en distintas ocupaciones o «hobbies»: jardinería, viajes, aeromodelismo, teatro, tenis, cine, historia, «bricolage», pintura, literatura, radioafición, vídeo, informática, animales, televisión, karate... El autodidacta encuentra en ellas el soporte teórico necesario para entregarse a su forma de ocio preferida.
Gete-Alonso, Eugenio Luis: Tiempo de ocio. Barcelona: Plaza y Janés, 1987.	Gete-Alonso, Eugenio Luis	Tiempo de ocio	1987	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Vivamos donde vivamos, es seguro que cerca de nuestro domicilio habrá un centro de estas características. Sólo en Barcelona hay 26 «Casals de Joves», que organizan cursos de kárate, debates sobre ecologismo, paz y desarme, excursiones, proyección de películas, preparan carnavales y llevan a cabo un sinnúmero de actividades siempre al alcance de los bolsillos más modestos. Existen también «Casals Infantils» —como en el resto de España—, ideales para que los niños se reúnan con sus amigos
Gete-Alonso, Eugenio Luis: Tiempo de ocio. Barcelona: Plaza y Janés, 1987.	Gete-Alonso, Eugenio Luis	Tiempo de ocio	1987	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				— Deportes de lucha: kárate, boxeo, esgrima, judo...
Cuzzani, Agustín: Disparen sobre el zorro gris. Buenos Aires: Almagesto, 1988.	Cuzzani, Agustín	Disparen sobre el zorro gris	1988	Primera edición	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata		Esta obra está incluida dentro de la obra "Teatro Completo" de Agustín Cuzzani; publicada por la misma editorial	PETER ¡Iaá..! (Glyd se vuelve en pose de karate y aplica a Peter un golpe en la ingle. Peter huye de la casa dando gritos de perrito apaleado, sale por la puerta de calle y mutis. Hondo retoma la guitarra y vuelve a rasguear mientras Gloria baila, Calisano grita al micrófono llamando a la señorita Maglione, Glyd ensaya poses de lucha y Magda
Cuzzani, Agustín: Disparen sobre el zorro gris. Buenos Aires: Almagesto, 1988.	Cuzzani, Agustín	Disparen sobre el zorro gris	1988	Primera edición	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata		Esta obra está incluida dentro de la obra "Teatro Completo" de Agustín Cuzzani; publicada por la misma editorial	GLYD ¡Terminemos! Las Machas lucharán. (Grita hacia fuera.)¡Que salga el Toro! (Gloria y Hondo se miran, se encogen de hombros, impotentes.)¡Que venga y se defienda! (Hace varios pasos de karate.)¡Ia! (Se sube a una silla. Arenga.)¡Hermanos! Ha llegado la hora de la liberación. La Hora de ser como queremos ser. ¡Que salga el toro! (Lento, majestuoso, imponente y tranquilo, el Zorro Gris entra revoleando su silbato.)
Cuzzani, Agustín: Disparen sobre el zorro gris. Buenos Aires: Almagesto, 1988.	Cuzzani, Agustín	Disparen sobre el zorro gris	1988	Primera edición	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata		Esta obra está incluida dentro de la obra "Teatro Completo" de Agustín Cuzzani; publicada por la misma editorial	GLORIA ¿Bailamos, muñeco? Déjala... Olvídala... Hay mejores formas de ser... (revolea)...mujerrrr... (se le arrima lo toca con los labios, lo tienta.)Esto no es karate... es más dulce... y es casi silencio, como a vos te gusta... (Encandilado, el Zorro Gris avanza un paso, la toma de la cintura.)¿Bailamos?
Cuzzani, Agustín: Disparen sobre el zorro gris. Buenos Aires: Almagesto, 1988.	Cuzzani, Agustín	Disparen sobre el zorro gris	1988	Primera edición	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata		Esta obra está incluida dentro de la obra "Teatro Completo" de Agustín Cuzzani; publicada por la misma editorial	HONDO ¿Yo? La que sabe karate es Glyd. Yo sólo tengo una moto japonesa.
Cuzzani, Agustín: Disparen sobre el zorro gris. Buenos Aires: Almagesto, 1988.	Cuzzani, Agustín	Disparen sobre el zorro gris	1988	Primera edición	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata		Esta obra está incluida dentro de la obra "Teatro Completo" de Agustín Cuzzani; publicada por la misma editorial	PETER El único miedo que tengo es que le inyecten hormonas de oveja para debilitarla. Deberíamos asaltar la casa y rescatarlos. ¡Yo sé karate!
