BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				«Cuando el fútbol no es deporte, quienes piensan que debe serlo están obligados a expresar su parecer. Con mayor motivo si han sido elegidos para regir el club que cuenta con el mayor número de socios del país y con más actividades deportivas.»
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				«La Junta ha estudiado todos los hechos y las informaciones relativas al partido jugado con el Málaga Club de Fútbol el pasado día 9, y ponderando serenamente lo acaecido, ha llegado a la conclusión de la necesidad de ejercitar cuantas acciones y recursos estén a su alcance no sólo en relación con dicho partido, sino respecto a lo que implica como culminación de una vasta campaña desencadenada contra el Fútbol Club Barcelona y lo que representa.»
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				relativas al partido jugado con el Málaga Club de Fútbol el pasado día 9, y ponderando serenamente lo acaecido, ha llegado a la conclusión de la necesidad de ejercitar cuantas acciones y recursos estén a su alcance no sólo en relación con dicho partido, sino respecto a lo que implica como culminación de una vasta campaña desencadenada contra el Fútbol Club Barcelona y lo que representa.»
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				«El Fútbol Club Barcelona es consciente de no ser el único perjudicado por la anómala estructuración del fútbol en este país, que adolece de todos los inconvenientes y deficiencias derivadas del centralismo más acusado, tanto en su gestión como en su organización. Por ello, aboga por una democratización de las estructuras federativas con las participaciones razonablemente
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				«El Fútbol Club Barcelona es consciente de no ser el único perjudicado por la anómala estructuración del fútbol en este país, que adolece de todos los inconvenientes y deficiencias derivadas del centralismo más acusado, tanto en su gestión como en su organización. Por ello, aboga por una democratización de las estructuras federativas con las participaciones razonablemente adecuadas de clubs de todas las categorías y de las distintas federaciones regionales, para devolver así
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Es decir, el consejo directivo del F.C. Barcelona afirma que existe una campaña contra el Club; que los sucesos de Málaga son un episodio más de esta campaña, la gota de agua que hace desbordar el vaso; y que, más allá de la campaña, es la anómala estructura del fútbol en España lo que origina estos prejuicios, no sólo al Barcelona, sino a otros clubs, estructuras que adolecen de todos los inconvenientes y deficiencias derivadas del centralismo más acusado.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				¿Tan parciales o incompetentes son los periodistas deportivos en general que no son capaces de superar partidismos locales? Esta sería una interpretación muy simple. La patentísima disparidad de criterios, y la casi unanimidad por zonas obedecen a razones más poderosas. El fútbol no se queda ya en simple deporte. Es algo más trascendental. Y no sólo ya el fútbol en cuanto tal modalidad deportiva; es el deporte mismo de nuestro tiempo el que se rebasa a sí mismo. Son los intereses económicos, las tensiones sociocomerciales, los aprovechamientos políticos, etc., los que estructuran el deporte hoy
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				son los periodistas deportivos en general que no son capaces de superar partidismos locales? Esta sería una interpretación muy simple. La patentísima disparidad de criterios, y la casi unanimidad por zonas obedecen a razones más poderosas. El fútbol no se queda ya en simple deporte. Es algo más trascendental. Y no sólo ya el fútbol en cuanto tal modalidad deportiva; es el deporte mismo de nuestro tiempo el que se rebasa a sí mismo. Son los intereses económicos, las tensiones sociocomerciales, los aprovechamientos políticos, etc., los que estructuran el deporte hoy. Éste es, además, parte de la vida del pueblo, y quizás una de las
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				parte de dos importantes clubs de la primera división española, el Athletic de Bilbao y la Real Sociedad de San Sebastián. En el momento de ser escritas estas líneas el asunto está pendiente. El periodista R. MELCON, en un documentado artículo titulado «El dossier de los oriundos» se explaya con energía: «Nuestro fútbol, una complicada especie de espectáculo socio-religioso-económico-polítíco-promocional que, sorprendentemente, es considerado todavía como deporte por algunos, no podía ser una excepción de transparencia y exquisitez en un mundo contaminado, insensibilizado y manoseado con tan lamentable frecuencia por la trampa y los tramposos.»
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				La anteriormente citada nota del presidente Montal empezaba con la frase: «cuando el fútbol no es deporte, quienes piensan que debe serlo están obligados a expresar su parecer.» Es curioso cómo un escrito concreto, referido a sucesos concretos y que hace acusaciones concretas, empieza con una frase de análisis conceptual o de enunciación teórica. ¿A qué deporte se refiere el presidente? Si hace alusión a
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				teórica. ¿A qué deporte se refiere el presidente? Si hace alusión a ese deporte cargado de valores humanos como la caballerosidad, el juego limpio, el noble afán de superación, el saber perder, el mérito del esfuerzo inútil... incurre posiblemente en una extrapolación, puesto que la competición liguera de primera división de fútbol constituye un deporte de alta competición y espectacularidad, relativamente alejada, según parece, del talante de noble y liberal competencia lúdica. Y lo mismo que ante esta información, idéntica problemática se plantea ante las aseveraciones anteriormente citadas que, trascendentalizando crisis particulares, hacían exclamar a ciertos fieles seguidores del Real Madrid en la temporada
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				xix, en el que se estructuran las formas básicas del deporte moderno, con el esplendor de los grandes clubs, la delimitación, codificación y reglamentación de los distintos deportes, la instauración de las grandes pruebas de «cross country», remo, equitación, tenis, hockey, cricket, pugilismo; nace el fútbol actual, se estructuran las primeras federaciones de deportes específicos.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Incluso en aquel tipo de competición basado en la victoria —siempre valor relativo— de un equipo sobre otro (baloncesto, fútbol, balonmano o hockey) o de un atleta sobre otro (lucha, boxeo, etc.), se buscan valoraciones objetivables en cifras: «máximos goleadores», «Máximos encestadores», «récord» de tantos, de puntuaciones, o de partidos internacionales. La marca o «récord» es hoy uno de
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				, según los estudios filológicos. No se puede eliminar de un concepto evolucionado una acepción original, sin plena evidencia de que dicha acepción haya caído en total desuso. Y nadie ha logrado «evidenciar» tal desuso. Para ir a practicar cualquier deporte, dicen los niños: «vamos a jugar» al (fútbol, hockey, baloncesto...). De un deportista público se dice: «jugó muy bien Fulano el último partido». El acontecimiento deportivo más importante de nuestro tiempo, se llama «Juegos Olímpicos». A una buena acción deportiva se le denomina «buena jugada». En las explicaciones docentes sobre técnica y
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				En primer lugar, es muy difícil, probablemente imposible, establecer la línea divisoria entre uno y otro. ¿Dónde, en qué momento, en qué categoría, un jugador de fútbol pasa de ser un practicante del espontáneo deporte individual o de pequeño grupo al deporte-espectáculo? ¿En tercera división nacional? ¿En primera categoría regional? Es un gran aficionado; le gusta jugar, es decir, juega por afición; pero a los partidos de su equipo acuden ya centenares e incluso miles de espectadores
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				supeditada a campeonatos, entrenamiento de especialistas, etc., quedando relegado a segundo o tercer Ludmila Tourischeva. Los estados han descubierto en el deporte una ocasión de propaganda. término, el simple practicante sin aspiraciones. Al igual que de una piscina, puede decirse de una pista de atletismo, una cancha de baloncesto, un campo de fútbol. El problema existe y es reflejo del conflicto general que tienen planteado en nuestra sociedad los organismos responsables a la vez de ambos deportes (la mayoría de los organismos rectores del deporte en el mundo).
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				a nivel internacional. Por ello han surgido en los últimos años numerosas  organizaciones internacionales, con diversos objetivos, alrededor de la vida deportiva. En los momentos actuales se pueden contabilizar más de setenta y cinco organizaciones de carácter más o menos mundial. Además de las Federaciones Internacionales concretadas en cada modalidad deportiva (Federación Internacional de Atletismo, de Fútbol, de Boxeo, de Baloncesto, etc.) que, sin contar las de carácter continental o regional, rebasan la cifra de cincuenta; existe un nutrido grupo de asociaciones referidas al deporte en general. Sin ser exhaustivos, y sólo a modo informativo y como pauta para nuestras reflexiones, se citan a continuación las
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				En España, por ejemplo, la organización del deporte en su forma actual fue estructurada en la década de los cuarenta. Antes de nuestra Guerra Civil, el deporte español carecía de estructuras generales. Más allá de las federaciones de algunas modalidades deportivas (fútbol, ciclismo, boxeo, tenis, etc.) existía desde 1924 el Comité Olímpico Español sin jurisdicción verdadera sobre ellas, aunque con aceptación por parte de éstas de su superior rango deportivo.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				En el ámbito del deporte federado, la D.N.D. no llega a ejercer una efectiva autoridad, a excepción de la esfera disciplinar. Las grandes Federaciones (Fútbol, Ciclismo, etc.) tienen sus ingresos al margen del control presupuestario de la Delegación, y siguen su propio régimen administrativo. Después de la llegada de Elola-Olaso al puesto de Delegado Nacional (1956), se inicia un progresivo robustecimiento de la significación y del control efectivo de la Delegación  Nacional de
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				a otras entidades. Sólo la fuerza, la convicción y, casi diríamos, la mística de aquellos jóvenes cuadros de responsables pudieron arrastrar a juventudes tan alejadas del deporte y de la educación física. En España eran conocidos a nivel popular unos pocos deportes, más ya como espectáculo que como práctica masiva; así el fútbol, ciclismo, boxeo... Otros, eran practicados por minorías en cotos sociales, así la hípica, el tenis, el golf, la vela. El atletismo, la natación, la gimnástica, se habían iniciado en núcleos más bien de ambiente universitario; pero tenían pocos adeptos antes de la década de los cuarenta.
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				él el castigo no constituye la finalidad inmediata, acérquese al balcón, su mano describía un círculo, y usted, Andrés, puede dejarnos solos si hace el favor, que este joven no ofrece ninguna peligrosidad, aparente al menos, venga ande, y diga lo que ve: un partido de fútbol en el patio que sirve de recreo, no va a creerme, pero hay dos hombres que están allí jugando, que deberían estar en libertad desde hace dos días —que de hecho lo están— pero que se han quedado, ¿y sabe por qué?, yo se lo diré a usted, pues
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				a buen término el proyecto se estaría obligado a pensar no sólo en la música considerada en sí misma sino en la educación de palabra, que en intervalos podría darse al recluso sobre asuntos de moral, en conferencias no exageradamente largas de formación política y luego con autorización especial también se conseguiría oír algún partido de fútbol o película autorizada para menores de dieciocho años.
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				derechos y privilegios de la mayoría. Sí hombre sí, ¿qué se conseguía con ensalzar la idea de la bandera y la patria delante de esos hombres que mientras usted les habla de ideas imperiales, y es un decir, se están solazando con cualquier esparcimiento o recreo que puede hacer relación al último resultado de fútbol o a la vuelta ciclista a Francia  que está ahora en su apogeo, restregándose las partes por mucho que les ponga en posición de firmes? ¿qué utilidad tiene hablarles de Historia cuando lo que agradecen es que se les deje en libertad en el patio para jugar a la bola sin más?... hasta a él
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				lo que me hacen gritar... aquí por lo que veo hay muchos sujetos desaprensivos y esto no lo digo por hablar puesto que voy al grano, bastante criminal suelto, ¿y qué podemos  hacer? ustedes se lo pierden, el día de mañana les pesará más de lo que imaginan, pero claro es mejor el fútbol y correr por ahí por el patio detrás de la pelota sin ninguna técnica como robaperas que son. Estaba en medio del patio, con la sotana negra al sol, sin tener ganas él mismo de mover un dedo con el calor y sin embargo levantando las manos al cielo para bajarlas en busca de
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				toda la noche de tertulia o sobremesa y le digo que no faltaría más, que sí mientras me echen algo de condimento y no falte el vino. En cuanto a la conversación cualquiera, aunque exceptuaba el arte o la literatura, no estaba para coñas y en la vida había otras cosas... usted me empieza a hablar de fútbol o de mujeres y estoy al tanto... de política internacional puedo exponer mi pensamiento con precaución eso sí (miraba a los lados)... hay que estar a la altura de las circunstancias, si se tratase de conversar con estos hombres, con alguno de ellos, no les iba a preguntar lo que habían hecho
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Paco se levantó del diván, dando tumbos: tenía el sueño entrancado en las piernas. Como todos los que despiertan de improviso, balbucía incongruencias: decía no sé qué sobre la pelota de fútbol. Y Lolita se reía de él, con risa floja, más nerviosa que alegre.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Entré en un café. Me sentía desfallecido. Mi odio por Estrella lo estaba presidiendo todo. Me acerqué a la barra: desde allí podía ver la calle. Los transeúntes hablaban entre sí, sonreían, se referían a la situación política, al fútbol, a las películas sonoras.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Bajo mano y en tono confidencial, los bulos sustituían lo que los periódicos no publicaban. El momento era difícil, muy difícil.  Nadie sabía lo que podía ocurrir. «Nos quieen dogá con fútbol, con los toos, peo el pueblo no idueme...», decía don Alberto.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Fue una cena ostentosa servida por dos criados alquilados y por Juan Villoria (generosamente cedido por mis suegros), en la que se repitieron las vulgaridades de siempre: el fútbol como enfoque político, la inmediata posibilidad de un concordato entre el Vaticano y España, como enfoque clerical; los abusos que cometían los de la Fiscalía de Tasas, como enfoque económico, y  el notable incremento que experimentaba el ramo homosexual, como enfoque lúbrico.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Dejó escapar una risita hueca, sarcástica y penosa: «Un señorito elegante que sólo piensa en los toros, en el fútbol y en acostarse con mujeres los sábados por la tarde, a la hora del Club, para que nadie ponga en duda su reputación.»
Lemus, Luis Arturo: Administración, dirección y supervisión de escuelas. Buenos Aires: Kapelusk, 1975.	Lemus, Luis Arturo	Administración, dirección y supervisión de escuelas	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Argentina	Río de la Plata		En este texto, por sistema, aparecen las máyusculas sin tilde.	e) las actividades deben ser organizadas. Es decir, no se trata simplemente de tener actividades en la escuela; actividades extraescolares siempre han existido y existen en todas las escuelas donde después de las clases o durante los recreos se reúnen los alumnos para jugar un partido de fútbol o desarrollar alguna otra actividad similar; lo que interesa es que sean organizadas, que haya variedad, que se lleve control, que se analicen los resultados; en una palabra, que se desarrollen con una orientación y tengan fines educativos;
Alba, Víctor: El pájaro africano. Barcelona: Planeta, 1975.	Alba, Víctor	El pájaro africano	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Finalista Premio Editorial Planeta 1975	podido pasar un cuarto de hora charlando con los muchachos? Ni les había preguntado por los chismes del barrio. ¿El Mocos estaba todavía sin atreverse a embestir a la chica de arriba, del Paseo, a la que seguía a la salida de la escuela? ¿Y Juan? ¿Seguía jugando al fútbol y dándoselas de mataviudas, como le decían, porque contaba que una viuda de guerra le abría la puerta de su piso por las noches? ¿Y Juanito?, ¿todavía peleado con su padre? Le parecía como si hubiese transcurrido mucho tiempo desde que detuvieron al Cachi, y eran sólo cuatro
Alba, Víctor: El pájaro africano. Barcelona: Planeta, 1975.	Alba, Víctor	El pájaro africano	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Finalista Premio Editorial Planeta 1975	la idea, como otra burbuja que estallara dentro de él: es la  primera vez, desde que iba a la escuela y les enseñaban aritmética... la primera vez que habla de cosas que no pueden tocarse o imaginarse. Del cine, de las novelas, de las nalgas de las muchachas, de fútbol, de fulano o zutano a los que han dado el paseo, de comida, de las pajas en el cine Mundial, de resfriados, de trabajo... eso sí, eso se toca. Hasta la revolución o la guerra se tocan, son autos cargados de gentes con fusiles o milicianos disparando, o casas bombardeadas
Alba, Víctor: El pájaro africano. Barcelona: Planeta, 1975.	Alba, Víctor	El pájaro africano	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Finalista Premio Editorial Planeta 1975	Todo esto suena gris, monótono. No lo era. Porque  habían conseguido interesarnos por la política. Otros tenían el fútbol o las guerras de barrio. Nosotros teníamos la política. La política era el Partido.
Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.	Pinillos, José Luis	Principios de psicología	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	España				Otro fenómeno, común hasta cierto punto con todos los aprendizajes complejos, es el del pre-calentamiento (warming-up). Antes de salir al campo, los jugadores de fútbol efectúan unos ejercicios previos para no comenzar el juego en frío; del mismo modo, en los experimentos de aprendizaje motor, y no sólo en ellos, se acomtumbra a permitir al sujeto que efectúe algunos ejercicios previos, para que se ponga a tono e inicie la prueba en el grado de competencia que realmente
Urrutia, Jorge: Sistemas de comunicación. Barcelona: Planeta, 1975.	Urrutia, Jorge	Sistemas de comunicación	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	España				Desde el ruido producido por una silla al caerse hasta los Concerti Grossi, de Vivaldi, o la séptima sinfonía de Beethoven, desde el grito inarticulado de un hincha en el campo de fútbol a un poema de Vicente Aleixandre, desde una raya trazada en la arena a La victoria de Guernica, de Pablo Picasso, las posibilidades de comunicación aumentan en riqueza y complejidad. Podemos decir que existen diferentes niveles de comunicación y, por ello, diferentes niveles de comprensión. Algunos de ellos exigen un entrenamiento especial, un aprendizaje
«Cuestión de instinto». El Tiempo. Bogotá: 1975-01-14.		El Tiempo	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Colombia	Caribe continental		Procesado por medio de un programa de reconocimiento de voz. No se acentúan las mayúsculas en el original.	La potencia del disparo de John Radford, artillero del Arsenal, obliga a Eddie Spearrit del Carlisle, a dar vía libre a la pelota, mientras se protege la cabeza. Su equipo triunfó por 2 goles a 1 en la rueda final del torneo inglés de fútbol. (Radiofoto United Prenss International, EL TIEMPO).
«BUCARAMANGA, 13». El Tiempo. Bogotá: 1975-01-14.		El Tiempo	1975	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Colombia	Caribe continental		Procesado por medio de un programa de reconocimiento de voz. No se acentúan las mayúsculas en el original.	Su padre está ahora vinculado al fútbol venezolano de la primera división.
